{name: "javascript", number: "1,345,845"}
{name: "java", number: "1,227,853"}
{name: "c#", number: "1,072,073"}
{name: "php", number: "1,051,891"}
{name: "android", number: "966,019"}
{name: "jquery", number: "827,297"}
{name: "python", number: "719,475"}
{name: "html", number: "634,842"}
{name: "c++", number: "503,501"}
{name: "ios", number: "497,459"}
{name: "css", number: "457,106"}
{name: "mysql", number: "454,210"}
{name: "sql", number: "377,352"}
{name: "asp.net", number: "311,793"}
{name: "objective-c", number: "274,515"}
{name: "ruby-on-rails", number: "269,923"}
{name: ".net", number: "249,286"}
{name: "c", number: "245,227"}
{name: "angularjs", number: "224,942"}
{name: "arrays", number: "221,470"}
{name: "iphone", number: "217,127"}
{name: "sql-server", number: "194,591"}
{name: "json", number: "191,649"}
{name: "ruby", number: "178,530"}
{name: "r", number: "175,100"}
{name: "ajax", number: "165,468"}
{name: "node.js", number: "164,842"}
{name: "regex", number: "163,836"}
{name: "xml", number: "154,531"}
{name: "asp.net-mvc", number: "152,057"}
{name: "linux", number: "142,563"}
{name: "swift", number: "139,988"}
{name: "django", number: "139,303"}
{name: "wpf", number: "128,903"}
{name: "database", number: "126,036"}
{name: "excel", number: "116,041"}
{name: "xcode", number: "112,418"}
{name: "string", number: "110,218"}
{name: "wordpress", number: "118,191"}
{name: "vb.net", number: "108,723"}
{name: "windows", number: "107,001"}
{name: "spring", number: "106,306"}
{name: "eclipse", number: "105,285"}
{name: "html5", number: "101,017"}
{name: "multithreading", number: "95,559"}
{name: "git", number: "83,035"}
{name: "oracle", number: "81,641"}
{name: "bash", number: "81,078"}
{name: "forms", number: "80,011"}
{name: "mongodb", number: "79,144"}
{name: "image", number: "79,103"}
{name: "vba", number: "78,008"}
{name: "twitter-bootstrap", number: "77,876"}
{name: "facebook", number: "77,850"}
{name: "osx", number: "76,031"}
{name: "algorithm", number: "73,915"}
{name: "winforms", number: "73,017"}
{name: "apache", number: "70,872"}
{name: "matlab", number: "69,633"}
{name: "performance", number: "68,526"}
{name: "postgresql", number: "66,364"}
{name: "visual-studio", number: "66,099"}
{name: "entity-framework", number: "66,046"}
{name: "swing", number: "65,540"}
{name: "python-2.7", number: "65,430"}
{name: "scala", number: "63,748"}
{name: "linq", number: "62,782"}
{name: "list", number: "62,694"}
{name: "hibernate", number: "62,116"}
{name: "css3", number: "62,101"}
{name: "excel-vba", number: "58,654"}
{name: "laravel", number: "57,570"}
{name: "qt", number: "57,265"}
{name: ".htaccess", number: "56,221"}
{name: "ruby-on-rails-3", number: "55,518"}
{name: "perl", number: "55,384"}
{name: "function", number: "55,340"}
{name: "web-services", number: "54,989"}
{name: "python-3.x", number: "54,476"}
